timestamp,elapsed_time,x,y,z,velocity,is_static,anchor_count,a1_measured,a1_filtered,a1_corrected,a2_measured,a2_filtered,a2_corrected,a3_measured,a3_filtered,a3_corrected,a4_measured,a4_filtered,a4_corrected,a5_measured,a5_filtered,a5_corrected
2025-11-08 13:36:27.109,24.612,1.842707,1.045616,1.189410,0.452106,0,5,2.205471,2.088160,2.491256,1.779764,2.108052,2.419105,3.524688,3.094165,3.314063,3.199211,3.138507,3.163876,1.111289,1.027799,0.996008
2025-11-08 13:36:27.354,24.858,1.752634,1.041670,1.066942,0.000000,0,4,,,,1.779764,2.243129,2.419105,3.524688,3.189658,3.314063,3.199211,3.149523,3.163876,1.932410,1.272278,1.590779
2025-11-08 13:36:27.602,25.106,1.825104,1.040790,1.185966,0.491915,0,5,2.544297,2.266034,2.497764,1.543308,1.910834,1.477928,3.626753,3.288661,3.417641,3.744619,3.374201,3.666907,0.746873,1.196972,1.098864
2025-11-08 13:36:27.848,25.352,1.825104,1.040790,1.185966,0.000000,0,4,2.057725,2.366705,2.497856,,,,3.626753,3.344672,3.417641,3.744619,3.501311,3.666907,0.746873,1.154368,1.098864
2025-11-08 13:36:28.116,25.620,1.814584,1.015766,1.227728,0.469093,0,5,1.154324,1.806106,1.075772,1.608768,1.752024,1.545131,3.174847,3.172651,2.948547,2.843356,3.168022,2.733821,0.811516,1.140558,1.122567
2025-11-08 13:36:28.345,25.849,1.712133,0.954515,1.400151,0.000000,0,5,1.154324,1.488952,1.075772,1.567678,1.639553,1.493028,4.054087,3.424667,3.752987,2.843356,2.979466,2.733821,0.811516,1.132745,1.122567
2025-11-08 13:36:28.605,26.108,1.789571,0.928427,1.396455,0.844328,0,5,2.331906,1.797933,2.200465,1.092422,1.394142,1.074426,3.019150,3.118081,2.718668,3.614612,3.239449,3.578149,1.377214,1.089285,1.032666
2025-11-08 13:36:29.108,26.612,1.897665,0.896340,1.254394,0.223166,0,4,,,,1.136062,1.393112,1.391771,2.974896,2.966338,2.768652,3.767153,3.417647,3.649797,1.560343,1.161609,1.255832
2025-11-08 13:36:29.367,26.871,1.875568,0.862416,1.469773,0.074024,0,5,1.636918,1.940590,2.126440,1.136062,1.392530,1.391771,4.359469,3.442641,4.063157,3.028525,3.249216,3.029788,1.560343,1.202526,1.255832
2025-11-08 13:36:29.601,27.105,1.875568,0.862416,1.469773,0.424791,0,5,1.336532,1.791527,1.597331,1.039706,1.307616,1.196992,4.405659,3.896574,4.487947,3.708013,3.327579,3.429670,1.840337,1.507314,1.904385
2025-11-08 13:36:29.842,27.346,1.875568,0.862416,1.469773,0.236233,0,3,1.336532,1.707195,1.597331,1.039706,1.362163,1.433225,4.405659,4.153383,4.487947,,,,,,
2025-11-08 13:36:30.412,27.915,1.875568,0.862416,1.469773,0.266931,0,4,,,,1.446441,1.634718,1.989797,4.507113,4.182754,4.221017,3.593608,3.402161,3.499324,1.595010,1.431610,1.332985
2025-11-08 13:36:30.645,28.148,1.767972,0.714812,1.617319,0.329928,0,5,1.321645,1.619312,1.504819,1.590823,1.573211,1.493081,3.633993,3.898961,3.529243,3.607475,3.443421,3.497174,1.235281,1.245507,1.003057
2025-11-08 13:36:30.855,28.359,1.767972,0.714812,1.617319,0.000000,0,4,1.618361,1.680060,1.759202,,,,3.633993,3.738408,3.529243,3.607475,3.466764,3.497174,1.235281,1.140221,1.003057
2025-11-08 13:36:31.101,28.605,1.741295,0.669197,1.758006,0.397099,0,5,1.486317,1.742441,1.823709,1.015540,1.319216,0.988318,3.802132,3.676973,3.596937,3.408032,3.307526,3.100075,1.768859,1.275080,1.450771
2025-11-08 13:36:31.403,28.906,1.749270,0.752268,1.582993,0.000000,0,4,1.486317,1.777732,1.823709,1.823302,1.820158,2.472772,,,,3.408032,3.217439,3.100075,1.768859,1.351375,1.450771
2025-11-08 13:36:31.601,29.105,1.760194,0.725565,1.463558,0.812512,0,5,0.925513,1.444857,1.011196,1.032875,1.465278,1.002949,3.014764,3.258636,2.713636,3.675383,3.300437,3.408565,1.681170,1.367190,1.387793
2025-11-08 13:36:31.845,29.349,1.760194,0.725565,1.463558,0.000000,0,4,0.925513,1.256536,1.011196,1.032875,1.264508,1.002949,3.478293,3.264751,3.272717,,,,1.681170,1.376137,1.387793
2025-11-08 13:36:32.172,29.676,1.793257,0.714163,1.582416,0.181924,0,5,1.556979,1.778560,2.458639,0.979853,1.149595,0.999889,3.714138,3.368474,3.503603,3.261511,3.269688,3.229630,1.911813,1.460201,1.569717
2025-11-08 13:36:32.409,29.912,1.861369,0.701928,1.723187,0.000000,0,4,1.556979,2.073890,2.458639,0.979853,1.084584,0.999889,3.714138,3.427155,3.503603,3.595953,3.403819,3.578562,,,
2025-11-08 13:36:32.611,30.115,1.896759,0.723766,1.917641,0.282713,0,5,1.933328,2.232141,2.438308,0.778066,1.170575,1.282602,4.042870,3.564118,3.742550,3.326360,3.351702,3.283804,1.491312,1.329810,1.159940
2025-11-08 13:36:33.113,30.616,1.896759,0.723766,1.917641,0.294758,0,4,0.944174,1.687503,0.977963,1.664646,1.735701,2.471934,4.081209,3.768763,4.035369,,,,0.934996,1.214128,1.063420
2025-11-08 13:36:33.344,30.848,1.896759,0.723766,1.917641,0.574771,0,4,0.999336,1.628978,1.552733,,,,4.081209,3.884539,4.035369,2.786256,3.056394,2.671675,0.934996,1.148682,1.063420
2025-11-08 13:36:33.600,31.104,1.669264,0.719438,2.115108,0.259357,0,5,1.057152,1.476437,1.277709,1.207336,1.606221,1.437539,3.984343,3.837410,3.776012,2.687453,2.838006,2.553495,1.542907,1.176280,1.212236
2025-11-08 13:36:33.860,31.363,1.577593,0.778743,2.103647,0.000000,0,4,1.057152,1.390137,1.277709,1.067950,1.497468,1.355787,,,,2.687453,2.714454,2.553495,1.542907,1.191894,1.212236
2025-11-08 13:36:34.101,31.605,1.557236,0.815677,2.241410,0.487672,0,5,1.774366,1.841168,2.428760,1.227524,1.395771,1.263283,3.461266,3.582745,3.250973,3.028318,2.856332,3.041167,1.512928,1.182634,1.170569
2025-11-08 13:36:34.357,31.861,1.557236,0.815677,2.241410,0.000000,0,4,1.774366,2.096335,2.428760,1.227524,1.338237,1.263283,3.564658,3.482920,3.352871,,,,1.512928,1.177395,1.170569
2025-11-08 13:36:34.594,32.097,1.605506,0.843512,2.164380,0.231718,0,5,1.727769,1.850293,1.529756,1.731024,1.448155,1.591352,3.496850,3.397028,3.285131,3.279152,3.037224,3.272885,1.223453,1.106055,1.013115
2025-11-08 13:36:34.843,32.347,1.642677,0.828122,2.002581,0.000205,0,4,1.727769,1.711008,1.529551,1.731024,1.510339,1.591352,3.496850,3.348436,3.285131,3.317693,3.159129,3.317944,,,
2025-11-08 13:36:35.105,32.609,1.718159,0.852166,1.927366,0.071054,0,5,1.969628,2.009937,2.399376,1.650677,1.514664,1.520298,3.571285,3.352359,3.357470,3.317693,3.228095,3.317944,0.726887,1.069020,1.020771
2025-11-08 13:36:35.364,32.867,1.741574,0.933426,2.039677,0.000000,0,5,1.969628,2.179054,2.399376,1.650677,1.517110,1.520298,3.571285,3.354578,3.357470,2.672157,2.968503,2.630313,0.930610,1.067726,1.066749
